2025-11-08T14:00:21+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:24+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:27+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:33+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:36+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:39+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:41+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:44+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:50+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:52+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:55+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:58+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:04+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:07+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:10+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:12+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:15+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:18+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:21+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:24+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:26+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:29+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:32+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
